"","Drone2_1","Drone2_2","Drone2_3","Drone2_4","Drone2_5","Drone2_6","Drone4_1","Drone4_2","Drone4_3","Drone4_4","Drone4_5","Drone4_6","Queen2_1","Queen2_2","Queen2_3","Queen2_4","Queen2_5","Queen2_6","Queen4_1","Queen4_2","Queen4_3","Queen4_4","Queen4_5","Queen4_6","Worker2_1","Worker2_2","Worker2_3","Worker2_4","Worker2_5","Worker2_6","Worker4_1","Worker4_2","Worker4_3","Worker4_4","Worker4_5","Worker4_6"
"LOC724946",9.98013957763916,10.7439928610602,9.99293833616581,10.4777582664439,10.6266216523584,9.63299519714296,11.5415806599912,12.2871351860867,10.3476213685681,11.3303567169579,12.2723381841586,11.5211096436513,9.77807712953536,10.2597432636908,10.1996723448364,10.2992080183873,10.6995724532873,10.4858293087019,9.47775826644389,8.80413102118332,9.15987133677839,9.27612440527424,8.48784003382305,8.51963625284321,9.36632221424582,10.3094763538411,10.0457596613827,10.1560830762887,9.68299458368168,9.56795607541547,8.67948009950545,8.13955135239879,8.18487534290828,8.17492568250068,8.30833903013941,8.1548181090521
"LOC100577819",3.32192809488736,4.64385618977472,3.70043971814109,3.70043971814109,4.32192809488736,3.70043971814109,2.32192809488736,2,2.58496250072116,0,1,2.32192809488736,2.58496250072116,1,2.32192809488736,2.58496250072116,2,1.58496250072116,1,2.32192809488736,2.58496250072116,0,6.04439411935845,1.58496250072116,2.8073549220576,3.16992500144231,2.58496250072116,1.58496250072116,2.8073549220576,3.16992500144231,0,0,0,1,1,0
"LOC113218965",4.8073549220576,5.6724253419715,4.95419631038687,5.04439411935845,5.58496250072116,6.44294349584873,5.35755200461808,6.49185309632967,4.32192809488736,6.08746284125034,6.6724253419715,5.95419631038687,5.90689059560852,5.97727992349992,5.7279204545632,5.12928301694497,5.49185309632967,5.78135971352466,4.16992500144231,4.16992500144231,4.32192809488736,3.16992500144231,3.90689059560852,4.08746284125034,5.04439411935845,6.10852445677817,5.52356195605701,4.90689059560852,5.52356195605701,4.95419631038687,1,4.52356195605701,3,3.8073549220576,4.58496250072116,2.58496250072116
"LOC102656483",2.32192809488736,2.32192809488736,1,3,1,2.32192809488736,3,2.58496250072116,3.32192809488736,3.8073549220576,3,3.32192809488736,4.4594316186373,4.32192809488736,3.58496250072116,4.4594316186373,4,3.90689059560852,1,0,0,1,1,0,2.58496250072116,2,1,1.58496250072116,0,1,3.8073549220576,3,3.32192809488736,1,2.8073549220576,3.32192809488736
"LOC726743",5.4262647547021,5.04439411935845,5.24792751344359,5.61470984411521,5.16992500144231,5.90689059560852,4.24792751344359,3.70043971814109,4.4594316186373,4,4.08746284125034,4.32192809488736,5.88264304936184,5.49185309632967,5.7279204545632,5.08746284125034,5.24792751344359,5.70043971814109,5.58496250072116,4.75488750216347,4.85798099512757,4,4.24792751344359,4.16992500144231,6.02236781302845,5.88264304936184,5.8073549220576,5.49185309632967,6.4757334309664,6.08746284125034,3,3.90689059560852,3.90689059560852,3.4594316186373,3.90689059560852,4.16992500144231
"LOC113218962",3,2.32192809488736,3.4594316186373,2.58496250072116,2.58496250072116,2,1,2.58496250072116,3.70043971814109,3,2.8073549220576,4.24792751344359,2.8073549220576,2.8073549220576,1,2,1.58496250072116,3.32192809488736,3.16992500144231,3.58496250072116,4.16992500144231,3.4594316186373,3.32192809488736,3,3.32192809488736,2.8073549220576,3.4594316186373,4.24792751344359,3.32192809488736,3.32192809488736,2.58496250072116,2.8073549220576,2.58496250072116,2.32192809488736,2,1.58496250072116
"LOC100577398",4.75488750216347,5.55458885167764,5.28540221886225,5.04439411935845,6.49185309632967,5.20945336562895,4.90689059560852,5.61470984411521,5.52356195605701,5.61470984411521,4.32192809488736,5.55458885167764,4.90689059560852,4.4594316186373,4.95419631038687,5.16992500144231,5.55458885167764,5.64385618977472,4.39231742277876,4.16992500144231,4.70043971814109,4,5.32192809488736,5.20945336562895,4.08746284125034,5.24792751344359,4.32192809488736,4.90689059560852,4,5,5.90689059560852,6.55458885167764,5.49185309632967,4.85798099512757,6.06608919045777,5.20945336562895
"LOC100577623",8.48784003382305,8.80413102118332,8.33539035469392,8.66177809777199,9.22881869049588,8.65463602852797,8.49984588708321,8.74146698640115,8.54689445988764,9.19721669311005,9.33539035469392,9.54689445988764,8.16490692667569,8.4757334309664,7.88264304936184,8.56224242422107,8.78135971352466,8.96866679319521,9.17242750864548,9.36413465500805,9.93221475196838,9.57742882803575,9.62753388447279,9.7262181593322,9.31741261376487,9.10328780841202,9.35314682549808,8.99435343685886,9.43879185257826,9.25738784269265,8.90689059560852,9.51766938813381,8.67948009950545,9.04984854945056,8.86418614465428,8.94836723158468
"LOC102653921",6.90689059560852,6.62935662007961,7.33985000288462,6.93073733756289,6.95419631038687,7.39231742277876,6.12928301694497,5.04439411935845,6.35755200461808,5.78135971352466,4.64385618977472,5.52356195605701,7.18982455888002,6.70043971814109,6.68650052718322,7.4594316186373,6.61470984411521,7.29462074889163,5.83289001416474,5.78135971352466,5.49185309632967,5.70043971814109,5.6724253419715,5.7279204545632,7.37503943134692,6.58496250072116,6.62935662007961,6.85798099512757,7.3037807481771,7.3037807481771,5.88264304936184,6.32192809488736,6.18982455888002,5.61470984411521,5.95419631038687,6.44294349584873
"LOC113219231",4.70043971814109,3.58496250072116,4.24792751344359,2.8073549220576,2.8073549220576,3.16992500144231,3.32192809488736,3.32192809488736,3.70043971814109,3.8073549220576,3,3.8073549220576,3.4594316186373,2.8073549220576,2.8073549220576,2.58496250072116,3,3.8073549220576,3.16992500144231,3.32192809488736,3.90689059560852,3,3.90689059560852,4,2.58496250072116,3.32192809488736,4.08746284125034,3.58496250072116,3.32192809488736,3,3.16992500144231,3.8073549220576,2.58496250072116,3,2.8073549220576,3.58496250072116
"LOC726737",5.20945336562895,2.58496250072116,3.58496250072116,3.4594316186373,3,3.16992500144231,4.8073549220576,4.64385618977472,3.4594316186373,5.28540221886225,4.8073549220576,5.28540221886225,3,3.32192809488736,2.32192809488736,2.32192809488736,3.70043971814109,3,5.70043971814109,5.12928301694497,5.52356195605701,5.64385618977472,5.49185309632967,5.16992500144231,4.75488750216347,4.24792751344359,3.32192809488736,3.4594316186373,4.08746284125034,3.58496250072116,3,3.8073549220576,4,2,1.58496250072116,2.32192809488736
"LOC410063",8.92777796208234,9.75988818322183,7.89481776330794,8.93957921431469,9.41151098801207,8.10328780841202,9.8703647195834,8.37937836707126,8.39231742277876,9.11374216604919,7.82017896241519,8.30833903013941,8.53138146051631,8.27612440527424,7.66533591718518,7.14974711950468,8.60362634498619,8.09275714091985,7.01122725542325,7.4178525148859,6.08746284125034,6.4262647547021,6.4262647547021,6.4093909361377,7.93663793900257,9.17990909001493,7.56985560833095,7.20945336562895,8.37937836707126,7.53915881110803,4.90689059560852,5.32192809488736,5.24792751344359,6.4757334309664,5.93073733756289,5.39231742277876
"LOC409204",2.32192809488736,3.4594316186373,2.58496250072116,3.16992500144231,2.8073549220576,3.70043971814109,3.58496250072116,3.8073549220576,2.32192809488736,2.8073549220576,3,4,2,3.16992500144231,3.32192809488736,3.32192809488736,3.32192809488736,2.8073549220576,4,3.70043971814109,4.90689059560852,4,4,4,3.32192809488736,2.8073549220576,2.32192809488736,2.8073549220576,3.32192809488736,3.8073549220576,3.70043971814109,3.58496250072116,3,2.8073549220576,3,2.58496250072116
"LOC107965094",6.8703647195834,7.16992500144231,6.96578428466209,6.89481776330794,7.3037807481771,6.74146698640115,6.79441586635011,6.08746284125034,5.93073733756289,6.08746284125034,6.24792751344359,6.71424551766612,5.64385618977472,5.24792751344359,5.4262647547021,6.10852445677817,6.06608919045777,6.24792751344359,6.82017896241519,6.82017896241519,7.21916852046216,6.10852445677817,7.01122725542325,7.23840473932508,6.3037807481771,6.70043971814109,6.08746284125034,6.24792751344359,6.6724253419715,6.53915881110803,6.08746284125034,6.08746284125034,6.35755200461808,6.02236781302845,5.58496250072116,6.37503943134692
"LOC724148",4.16992500144231,3.90689059560852,4.16992500144231,4.85798099512757,4.70043971814109,4.16992500144231,4.4594316186373,3.58496250072116,3.70043971814109,4,3.32192809488736,3.4594316186373,3.4594316186373,3.32192809488736,3.16992500144231,3.32192809488736,3,3.90689059560852,3.32192809488736,3.4594316186373,3.90689059560852,1.58496250072116,3.58496250072116,2.8073549220576,3.16992500144231,4.24792751344359,3,3.70043971814109,3.58496250072116,2.32192809488736,4,4.52356195605701,4.64385618977472,5.20945336562895,4.90689059560852,4.8073549220576
"LOC409043",8.78463484555752,8.58496250072116,9.04712391211403,9.34207466799914,8.96289600533726,9.52552080909507,7.85174904141606,6.76818432477693,7.11894107272351,7.34872815423108,7.11894107272351,6.78135971352466,8.55842071326866,8.04984854945056,8.4178525148859,7.96000193206808,8.70390357344466,8.63662462054365,6.4757334309664,6.59991284218713,6.33985000288462,6.24792751344359,6.7279204545632,6.16992500144231,9.44501484586842,8.93073733756289,8.94836723158468,8.28540221886225,9.24317398347295,9.06069593168755,5.70043971814109,5.61470984411521,6.14974711950468,7.07681559705083,7.53138146051631,6.2667865406949
"LOC100577584",2,2,3.32192809488736,3.16992500144231,3.32192809488736,3.8073549220576,2.8073549220576,3.4594316186373,2.32192809488736,3.32192809488736,1.58496250072116,3.32192809488736,2.58496250072116,2.58496250072116,3,2.58496250072116,2.32192809488736,1,4.58496250072116,3.8073549220576,2.58496250072116,3.4594316186373,2.32192809488736,3,3,2.8073549220576,2.58496250072116,1,2.32192809488736,3.32192809488736,1.58496250072116,2.58496250072116,2,2,2.32192809488736,2.32192809488736
"LOC410244",8.46352437327118,8.31288295528435,8.62935662007961,8.93369065495223,8.70390357344466,8.43879185257826,8.26209484537018,8.18487534290828,7.66533591718518,8.14974711950468,8.12412131182919,8.13955135239879,8.4757334309664,8.58120058192496,8.43879185257826,8.45121111183233,8.87958324961278,8.94544383637791,8.00562454919388,7.4594316186373,7.8008998999203,7.83289001416474,7.56985560833095,7.34872815423108,8.86418614465428,8.70390357344466,9.06069593168755,8.97154355395077,8.90989308377004,8.68299458368168,7.33985000288462,7.70043971814109,7.11894107272351,7.61470984411521,7.56985560833095,7.49185309632967
"LOC726594",4.24792751344359,3,4.52356195605701,4.08746284125034,4.64385618977472,4.95419631038687,3.58496250072116,2.58496250072116,2.58496250072116,2.8073549220576,2,2,4.24792751344359,4.39231742277876,4.8073549220576,5.16992500144231,4.32192809488736,4.32192809488736,2.32192809488736,2.8073549220576,3.70043971814109,2.58496250072116,3.4594316186373,2.58496250072116,5.20945336562895,4.8073549220576,5.28540221886225,5.08746284125034,5.24792751344359,5.49185309632967,2.8073549220576,3.16992500144231,2.58496250072116,2,3,2.32192809488736
"LOC102655100",11.7359790396134,11.2276159434142,11.1554507313121,11.9954138522252,11.8305152069768,11.6532929453828,10.9693865213423,10.3487281542311,10.3420746679991,11.4288835520102,10.5989829710361,10.9314762338868,11.5617652636277,11.5655781367843,10.876516946565,11.7661147575867,11.7185328760692,11.6921795763125,10.7030383889864,11.1019756709492,10.6917435191713,10.8579809951276,10.5117526537674,10.4988492065317,12.3920490393642,11.6969675262343,11.9046346216682,11.5651020783603,12.4424251933316,12.1085244567782,10.5536292939164,11.0285967770671,10.2550285698187,10.71681946133,10.5127404628035,10.7607199474656
"LOC102656571",6.39231742277876,7.04439411935845,5.55458885167764,6.89481776330794,7.67948009950545,7.37503943134692,6.71424551766612,5.24792751344359,5.55458885167764,7.01122725542325,5.95419631038687,7.8073549220576,7.17990909001493,6.37503943134692,6.89481776330794,7.02236781302845,7.44294349584873,7.51569983828404,3.4594316186373,4.4594316186373,3.32192809488736,3.58496250072116,3,3,5.35755200461808,7.48381577726426,6.35755200461808,5.70043971814109,6.4594316186373,5.55458885167764,5.35755200461808,5.61470984411521,5.4262647547021,5.70043971814109,5.58496250072116,5.35755200461808
"LOC725353",5.88264304936184,8.29001884693262,8.37503943134693,8.24792751344359,7.85174904141606,9.97727992349992,6.70043971814109,9.22158712126481,6.55458885167764,7.03342300153745,9.5352753766208,6.8703647195834,9.76983784362944,9.19475685442225,8.70735913208088,8.51963625284321,8.23840473932508,8.9188632372746,3.32192809488736,3.16992500144231,2,2,3,3,7.33985000288462,9.16992500144231,7.94836723158468,6.39231742277876,7.68650052718322,6.62935662007961,2.32192809488736,2.58496250072116,1.58496250072116,2.58496250072116,1.58496250072116,2
"LOC411494",5.55458885167764,5.04439411935845,5.75488750216347,5.95419631038687,5.04439411935845,6.28540221886225,4.64385618977472,3.16992500144231,3.8073549220576,3.58496250072116,2.8073549220576,3.58496250072116,5.52356195605701,4.64385618977472,5.55458885167764,4.90689059560852,5.49185309632967,5.97727992349992,4.4594316186373,4.32192809488736,3.58496250072116,3.4594316186373,4.4594316186373,4.4594316186373,6.12928301694497,6.06608919045777,5.7279204545632,5.28540221886225,6.24792751344359,5.97727992349992,3,3.32192809488736,3.90689059560852,4.90689059560852,3.90689059560852,3.90689059560852
"LOC100576428",2.58496250072116,3.16992500144231,3.16992500144231,3.8073549220576,3,3.58496250072116,3.4594316186373,2.32192809488736,3,3,2.58496250072116,3,5.04439411935845,4,3.90689059560852,5.16992500144231,4.64385618977472,4.52356195605701,3.32192809488736,4.08746284125034,4.52356195605701,4.08746284125034,4.16992500144231,3.8073549220576,4.58496250072116,3.32192809488736,3.16992500144231,3.32192809488736,3,3.70043971814109,6.8703647195834,6.71424551766612,6.75488750216347,6.94251450533924,7.82017896241519,7.11894107272351
